"rowname","age_group","pop_m","pop_m_p","pop_f","pop_f_p","pop_bs","pop_bs_p","males","males_p","females","females_p","unknown","both_sexes","both_sexes_p","date1","country","path1","sheet1","serial_id"
"1","0-9",3896272,9.5108291758297,3692363,8.78036042642104,7588635,9.14081780081437,0,0,1,0.0353857041755131,NA,1,0.015451174289246,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",1
"10","90-99",205063,0.500560321066693,575911,1.36950406922087,780974,0.940714771651714,425,11.6566099835436,734,25.9731068648266,NA,1159,17.9079110012361,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",2
"11","100+",2530,NA,11439,NA,13969,NA,4,0.109709270433352,36,1.27388535031847,NA,40,0.618046971569839,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",3
"13","Total known",40966691,99.9938242510238,42052522,99.9727983020852,83019213,99.9831737744852,3646,100,2826,100,0,6472,100,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",4
"15","Unknown",NA,NA,NA,NA,NA,NA,1,NA,3,NA,5,9,NA,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",5
"16","Total",40966691,NA,42052522,NA,83019213,NA,3647,NA,2829,NA,5,6481,NA,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",6
"2","10-19",3987129,9.73261179429893,3718528,8.84258023811271,7705657,9.28177553309256,1,0.0274273176083379,0,0,NA,1,0.015451174289246,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",7
"3","20-29",5110948,12.4758624024576,4689659,11.1519090341359,9800607,11.8052275441349,4,0.109709270433352,2,0.0707714083510262,NA,6,0.0927070457354759,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",8
"4","30-39",5437398,13.2727293009826,5209047,12.3870026154436,10646445,12.8240736273903,9,0.246845858475041,5,0.176928520877565,NA,14,0.216316440049444,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",9
"5","40-49",5251175,12.8181575612246,5175082,12.3062345701882,10426257,12.5588482752782,36,0.987383433900165,11,0.389242745930644,NA,47,0.726205191594561,2020-05-01,"Germany","./Deaths-Age-Sex_Covid-19_Germany_01-05.xlsx","Daily Report RKI_Data",10
