"rowname","age_group","pop_m","pop_m_p","pop_f","pop_f_p","pop_bs","pop_bs_p","males","males_p","females","females_p","unknown","both_sexes","both_sexes_p","date1","country","path1","sheet1","serial_id"
"1","0-9",3896272,9.5108291758297,3692363,8.78036042642104,7588635,9.14081780081437,0,0,1,0.040290088638195,NA,1,0.0174094707520891,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",1
"10","90-99",205063,0.500560321066693,575911,1.36950406922087,780974,0.940714771651714,376,11.5266707541386,643,25.9065269943594,NA,1019,17.7402506963788,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",2
"11","100+",2530,NA,11439,NA,13969,NA,3,0.0919681177191907,32,1.28928283642224,NA,35,0.60933147632312,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",3
"13","Total known",40966691,99.9938242510238,42052522,99.9727983020852,83019213,99.9831737744852,3262,100,2482,100,0,5744,100,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",4
"15","Unknown",NA,NA,NA,NA,NA,NA,1,NA,0,NA,5,6,NA,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",5
"16","Total",40966691,NA,42052522,NA,83019213,NA,3263,NA,2482,NA,5,5750,NA,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",6
"2","10-19",3987129,9.73261179429893,3718528,8.84258023811271,7705657,9.28177553309256,1,0.0306560392397302,0,0,NA,1,0.0174094707520891,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",7
"3","20-29",5110948,12.4758624024576,4689659,11.1519090341359,9800607,11.8052275441349,3,0.0919681177191907,2,0.08058017727639,NA,5,0.0870473537604457,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",8
"4","30-39",5437398,13.2727293009826,5209047,12.3870026154436,10646445,12.8240736273903,5,0.153280196198651,4,0.16116035455278,NA,9,0.156685236768802,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",9
"5","40-49",5251175,12.8181575612246,5175082,12.3062345701882,10426257,12.5588482752782,35,1.07296137339056,9,0.362610797743755,NA,44,0.766016713091922,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",10
"6","50-59",6767896,16.5204848983287,6706270,15.9473669617247,13474166,16.2301779468808,137,4.19987737584304,42,1.69218372280419,NA,179,3.11629526462396,2020-04-27,"Germany","./Deaths-Age-Sex_Covid-19_Germany_27-04.xlsx","Daily Report RKI_Data",11
